Substrate,id,num,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna,pos|lfc,Score
CDC2L2,KLHL13,4,8.94E-07,4.99E-06,0.000237,1,4,1.4675,6.048696488
CDC2L2,CUL3,4,1.19E-06,4.99E-06,0.000237,2,4,3.3615,5.924927737
CDC2L2,ARIH1,4,0.00072714,0.0028613,0.090607,3,4,1.0488,3.138381964
CDC2L2,IPP,4,0.008482,0.029227,0.631214,4,4,0.75173,2.071501732
CDC2L2,RBX1,4,0.0097449,0.033222,0.631214,5,3,0.8108,2.011222613
CDC2L2,KLHL23,4,0.017085,0.055173,0.873577,6,3,0.73302,1.767385017
CDC2L2,BCL6,4,0.02049,0.064911,0.88093,7,4,0.37734,1.688458042
CDC2L2,ANKFY1,4,0.036911,0.1025,0.981193,8,2,0.11878,1.432844189
CDC2L2,KCTD15,4,0.037061,0.10276,0.981193,9,3,0.50961,1.431082866
CDC2L2,KBTBD11,4,0.042235,0.11271,0.981193,10,3,0.51457,1.374327501
CDC2L2,MYNN,4,0.044994,0.11769,0.981193,11,2,0.53114,1.346845396
CDC2L2,KBTBD7,4,0.057876,0.14168,0.981193,12,3,0.62162,1.237501492
CDC2L2,KCTD18,4,0.072069,0.16752,0.981193,13,3,0.50849,1.142251504
CDC2L2,IBTK,4,0.077833,0.1778,0.981193,14,1,-0.60821,1.10883623
CDC2L2,KBTBD4,4,0.078091,0.17828,0.981193,15,2,0.37057,1.107399016
CDC2L2,KLHL41,4,0.088424,0.19694,0.981193,16,3,0.4278,1.053429843
CDC2L2,KLHL24,4,0.096998,0.21154,0.981193,17,3,0.44975,1.01323722
CDC2L2,BCL6B,4,0.097266,0.21196,0.981193,18,3,0.51369,1.012038944
CDC2L2,BTBD10,4,0.10146,0.21972,0.981193,19,3,0.40624,0.993705142
CDC2L2,RHOBTB3,4,0.11552,0.2438,0.981193,20,3,0.40289,0.93734282
CDC2L2,GMCL1,4,0.12546,0.26047,0.981193,21,3,0.31079,0.901494717
CDC2L2,KBTBD2,4,0.12714,0.26305,0.981193,22,1,-0.22941,0.895717793
CDC2L2,SHKBP1,4,0.13675,0.27955,0.981193,23,2,0.0099423,0.864072665
CDC2L2,GAN,4,0.14772,0.29747,0.981193,24,2,0.38118,0.830560701
CDC2L2,KLHL18,4,0.15803,0.31391,0.981193,25,3,0.30173,0.80126046
CDC2L2,KEAP1,4,0.15943,0.31608,0.981193,26,2,0.28309,0.797429954
CDC2L2,KLHL3,4,0.17279,0.33856,0.981193,27,3,0.30763,0.762481395
CDC2L2,KBTBD6,4,0.17548,0.34253,0.981193,28,2,0.12439,0.755772374
CDC2L2,KCTD17,4,0.18366,0.35364,0.981193,29,1,-0.055257,0.73598542
CDC2L2,KLHL32,4,0.20187,0.3703,0.981193,30,2,0.14872,0.694928217
CDC2L2,KLHL40,4,0.21319,0.3804,0.981193,31,2,0.26651,0.67123317
CDC2L2,KCTD10,4,0.21978,0.38659,0.981193,32,1,-0.22939,0.658011831
CDC2L2,KLHL6,4,0.22619,0.39198,0.981193,33,2,0.19799,0.645526599
CDC2L2,SPOP,4,0.23739,0.40242,0.981193,34,2,0.21876,0.62453758
CDC2L2,KBTBD3,3,0.2387,0.36536,0.981193,35,1,-2.002,0.622147581
CDC2L2,KCTD14,4,0.23937,0.40419,0.981193,36,2,0.22882,0.62093028
CDC2L2,RCBTB1,4,0.24826,0.41201,0.981193,37,2,0.11192,0.605093249
CDC2L2,KLHL22,4,0.25721,0.42001,0.981193,38,2,0.19408,0.589712151
CDC2L2,KLHL5,4,0.2801,0.44137,0.981193,39,2,0.12344,0.552686891
CDC2L2,KLHL15,4,0.29668,0.45649,0.981193,40,1,-0.28886,0.52771173
CDC2L2,KBTBD8,4,0.31686,0.47585,0.981193,41,2,0.13411,0.499132582
CDC2L2,KLHL11,4,0.32896,0.48707,0.981193,42,1,-1.0909,0.482856907
CDC2L2,KLHL21,4,0.33559,0.49355,0.981193,43,2,-0.029182,0.474190989
CDC2L2,NACC1,4,0.33685,0.49468,0.981193,44,1,-0.10747,0.472563448
CDC2L2,KCTD19,4,0.36389,0.51925,0.981193,45,2,0.14355,0.439029879
CDC2L2,KLHL26,4,0.36863,0.52383,0.981193,46,2,0.029284,0.433409324
CDC2L2,BTBD1,4,0.37529,0.52956,0.981193,47,1,-0.41527,0.425633008
CDC2L2,KCTD20,4,0.38286,0.53659,0.981193,48,2,-0.044095,0.416960005
CDC2L2,KCTD12,1,0.38636,0.38684,0.981193,49,1,0.22759,0.413007843
CDC2L2,KCTD7,4,0.39236,0.54516,0.981193,50,2,0.12383,0.406315274
CDC2L2,NACC2,4,0.42087,0.57316,0.981193,51,2,0.15608,0.37585203
